Date,AAPL,AC.MX,ALSEA.MX,AMZN,BIMBOA.MX,FEMSAUBD.MX,KO,MSFT,PG,WALMEX.MX
2021-10-19,145.09620666503906,103.27349090576172,43.55905532836914,172.20750427246094,53.44224166870117,139.18084716796875,47.057308197021484,295.81671142578125,123.70404052734375,61.13362503051758
2021-10-20,145.5839080810547,102.84642791748047,45.20207214355469,170.7530059814453,53.674072265625,137.4998321533203,47.47443389892578,295.0296936035156,124.18775939941406,61.4028434753418
2021-10-21,145.79849243164062,102.79714965820312,45.049232482910156,171.75050354003906,53.45151138305664,136.28396606445312,47.23110580444336,298.244873046875,123.29399871826172,61.8110466003418
2021-10-22,145.02798461914062,102.46861267089844,44.762664794921875,166.77749633789062,52.403629302978516,138.09555053710938,47.31801223754883,296.7093505859375,124.6213607788086,63.895442962646484
2021-10-25,144.97915649414062,102.85462951660156,44.02712631225586,166.01849365234375,52.505638122558594,137.51614379882812,47.1268310546875,295.7208251953125,124.6390380859375,63.556732177734375
2021-10-26,145.64242553710938,102.79714965820312,43.396663665771484,168.80349731445312,53.266048431396484,141.35145568847656,47.335391998291016,297.62109375,126.40887451171875,63.495941162109375
2021-10-27,145.1840057373047,103.16673278808594,42.202613830566406,169.62449645996094,53.33095932006836,138.63412475585938,48.24785614013672,310.15509033203125,125.50627136230469,63.139854431152344
2021-10-28,148.81240844726562,103.15853118896484,41.59125900268555,172.32850646972656,52.190338134765625,138.128173828125,48.69975280761719,311.2875061035156,126.25843048095703,63.113800048828125
2021-10-29,146.1106414794922,103.10102844238281,41.285579681396484,168.6215057373047,56.51171875,138.1199951171875,48.98652267456055,318.2648010253906,126.53277587890625,62.36688995361328
2021-11-01,145.291259765625,104.56298828125,42.2885856628418,165.90550231933594,58.292198181152344,139.376708984375,48.81272506713867,316.1053771972656,126.22303009033203,63.68700408935547
2021-11-02,146.32516479492188,104.56298828125,42.2885856628418,165.6374969482422,58.292198181152344,139.376708984375,48.751888275146484,319.7139892578125,127.4795913696289,63.68700408935547
2021-11-03,147.7589874267578,104.16053771972656,42.0211181640625,169.1999969482422,57.47614669799805,136.05548095703125,48.91700744628906,320.54888916015625,128.3556365966797,65.18950653076172
